fname,lname,year,stint,team,league,AB,H,HR,SB,BB,SO,HBP,PA
Hank,Aaron,1969,1,ATL,NL,547,164,44,9,87,47,2,658
Jerry,Adair,1969,1,KCA,AL,432,108,5,1,20,36,3,465
Tommie,Agee,1969,1,NYN,NL,565,153,26,12,59,137,3,637
Bernie,Allen,1969,1,WS2,AL,365,90,9,5,50,35,0,420
Dick,Allen,1969,1,PHI,NL,438,126,32,9,64,144,0,516
Hank,Allen,1969,1,WS2,AL,271,75,1,12,13,28,1,287
Gene,Alley,1969,1,PIT,NL,285,70,8,4,19,48,1,310
Bob,Allison,1969,1,MIN,AL,189,43,8,2,29,39,1,225
Sandy,Alomar,1969,2,CAL,AL,559,140,1,18,36,48,0,600
Felipe,Alou,1969,1,ATL,NL,476,134,5,4,23,23,4,513
Jesus,Alou,1969,1,HOU,NL,452,112,5,4,15,30,4,482
Matty,Alou,1969,1,PIT,NL,698,231,1,22,42,35,2,755
Max,Alvis,1969,1,CLE,AL,191,43,1,1,14,26,0,208
Brant,Alyea,1969,1,WS2,AL,237,59,11,1,34,67,1,280
Mike,Andrews,1969,1,BOS,AL,464,136,15,1,71,53,5,554
Luis,Aparicio,1969,1,CHA,AL,599,168,5,24,66,29,2,682
Jose,Arcia,1969,1,SDN,NL,302,65,0,14,14,47,2,321
Bob,Aspromonte,1969,1,ATL,NL,198,50,3,0,13,19,2,216
Joe,Azcue,1969,3,CAL,AL,248,54,1,0,27,28,2,293
Bob,Bailey,1969,1,MON,NL,358,95,9,3,40,76,1,408
Sal,Bando,1969,1,OAK,AL,609,171,31,1,111,82,11,739
Ernie,Banks,1969,1,CHN,NL,565,143,23,0,42,101,7,636
John,Bateman,1969,1,MON,NL,235,49,8,0,12,44,1,255
Glenn,Beckert,1969,1,CHN,NL,543,158,1,6,24,24,6,582
Mark,Belanger,1969,1,BAL,AL,530,152,2,14,53,54,2,599
Johnny,Bench,1969,1,CIN,NL,532,156,26,6,49,86,4,599
Ken,Berry,1969,1,CHA,AL,297,69,4,1,24,50,3,332
Paul,Blair,1969,1,BAL,AL,625,178,26,20,40,72,2,685
Curt,Blefary,1969,1,HOU,NL,542,137,12,8,77,79,4,642
Bobby,Bonds,1969,1,SFN,NL,622,161,32,45,81,187,10,723
Ken,Boswell,1969,1,NYN,NL,362,101,3,7,36,47,2,408
Clete,Boyer,1969,1,ATL,NL,496,124,14,3,55,87,4,568
Buddy,Bradford,1969,1,CHA,AL,273,70,11,5,34,75,4,317
Ron,Brand,1969,1,MON,NL,287,74,0,2,30,19,1,329
John,Briggs,1969,1,PHI,NL,361,86,12,9,64,78,0,430
Ed,Brinkman,1969,1,WS2,AL,576,153,2,2,50,42,5,642
Lou,Brock,1969,1,SLN,NL,655,195,12,53,50,115,2,725
Ike,Brown,1969,1,DET,AL,170,39,5,2,26,43,2,209
Larry,Brown,1969,1,CLE,AL,469,112,4,5,44,43,1,523
Ollie,Brown,1969,1,SDN,NL,568,150,20,10,44,97,3,624
Don,Buford,1969,1,BAL,AL,554,161,11,19,96,62,5,670
Johnny,Callison,1969,1,PHI,NL,495,131,16,2,49,73,3,563
Bert,Campaneris,1969,1,OAK,AL,547,142,2,62,30,62,4,594
Chris,Cannizzaro,1969,1,SDN,NL,418,92,4,0,42,81,0,477
Jose,Cardenal,1969,1,CLE,AL,557,143,11,36,49,58,0,619
Leo,Cardenas,1969,1,MIN,AL,578,162,10,5,66,96,4,677
Rod,Carew,1969,1,MIN,AL,458,152,8,19,37,72,3,504
Rico,Carty,1969,1,ATL,NL,304,104,16,0,32,28,0,342
Paul,Casanova,1969,1,WS2,AL,379,82,4,0,18,52,3,415
Norm,Cash,1969,1,DET,AL,483,135,22,2,63,80,6,561
Danny,Cater,1969,1,OAK,AL,584,153,10,1,28,40,2,623
Orlando,Cepeda,1969,1,ATL,NL,573,147,22,12,55,76,5,646
Darrel,Chaney,1969,1,CIN,NL,209,40,0,1,24,75,1,241
Horace,Clarke,1969,1,NYA,AL,641,183,4,33,53,41,0,700
Roberto,Clemente,1969,1,PIT,NL,507,175,19,4,56,73,3,586
Donn,Clendenon,1969,2,NYN,NL,202,51,12,3,19,62,2,230
Ty,Cline,1969,1,MON,NL,209,50,2,4,32,22,2,245
Nate,Colbert,1969,1,SDN,NL,483,123,24,6,45,123,3,539
Wayne,Comer,1969,1,SE1,AL,481,118,15,18,82,79,1,574
Tony,Conigliaro,1969,1,BOS,AL,506,129,20,2,48,111,4,572
Bobby,Cox,1969,1,NYA,AL,191,41,2,0,34,41,1,236
Willie,Crawford,1969,1,LAN,NL,389,96,11,4,49,85,0,443
Tim,Cullen,1969,1,WS2,AL,249,52,1,1,14,27,2,278
Jim,Davenport,1969,1,SFN,NL,303,73,2,0,29,37,0,340
Tommy,Davis,1969,1,SE1,AL,454,123,6,19,30,46,4,499
Willie,Davis,1969,1,LAN,NL,498,155,11,24,33,39,4,545
Tommy,Dean,1969,1,SDN,NL,273,48,2,0,27,54,1,312
Bob,Didier,1969,1,ATL,NL,352,90,0,1,34,39,0,402
Dick,Dietz,1969,1,SFN,NL,244,56,11,0,53,53,3,306
John,Donaldson,1969,2,SE1,AL,338,79,1,6,36,36,0,383
Johnny,Edwards,1969,1,HOU,NL,496,115,6,2,53,69,2,571
Mike,Epstein,1969,1,WS2,AL,403,112,30,2,85,99,10,510
Andy,Etchebarren,1969,1,BAL,AL,217,54,3,1,28,42,7,263
Ron,Fairly,1969,2,MON,NL,253,73,12,1,28,22,0,285
Frank,Fernandez,1969,1,NYA,AL,229,51,12,1,65,68,3,301
Al,Ferrara,1969,1,SDN,NL,366,95,14,0,45,69,7,426
Mike,Fiore,1969,1,KCA,AL,339,93,12,4,84,63,2,431
Curt,Flood,1969,1,SLN,NL,606,173,4,9,48,57,7,673
Joe,Foy,1969,1,KCA,AL,519,136,11,37,74,75,5,613
Bill,Freehan,1969,1,DET,AL,489,128,16,1,53,55,8,561
Jim,Fregosi,1969,1,CAL,AL,580,151,12,9,93,86,1,692
Jim,French,1969,1,WS2,AL,158,29,2,1,41,15,0,208
Tito,Fuentes,1969,1,SFN,NL,183,54,1,2,15,25,1,204
Vern,Fuller,1969,1,CLE,AL,254,60,4,2,20,53,2,282
Wayne,Garrett,1969,1,NYN,NL,400,87,1,4,40,75,3,457
Gil,Garrido,1969,1,ATL,NL,227,50,0,0,16,11,0,254
Rod,Gaspar,1969,1,NYN,NL,215,49,1,7,25,19,2,252
Cito,Gaston,1969,1,SDN,NL,391,90,2,4,24,117,1,419
Jake,Gibbs,1969,1,NYA,AL,219,49,0,3,23,30,0,254
Russ,Gibson,1969,1,BOS,AL,287,72,3,1,15,25,1,308
Gus,Gil,1969,1,SE1,AL,221,49,0,2,16,28,0,241
Tony,Gonzalez,1969,1,SDN,NL,182,41,2,1,19,24,3,206
Tony,Gonzalez,1969,2,ATL,NL,320,94,10,3,27,22,5,358
Dick,Green,1969,1,OAK,AL,483,133,12,2,53,94,8,556
Jerry,Grote,1969,1,NYN,NL,365,92,6,2,32,59,1,411
Tom,Haller,1969,1,LAN,NL,445,117,6,0,48,58,2,517
Jimmie,Hall,1969,2,NYA,AL,212,50,3,8,19,34,0,234
Ron,Hansen,1969,1,CHA,AL,185,48,2,2,18,25,1,207
Terry,Harmon,1969,1,PHI,NL,201,48,0,1,22,31,3,228
Tommy,Harper,1969,1,SE1,AL,537,126,9,73,95,90,1,642
Bud,Harrelson,1969,1,NYN,NL,395,98,0,1,54,54,2,464
Ken,Harrelson,1969,2,CLE,AL,519,115,27,17,95,96,2,627
Chuck,Harrison,1969,1,KCA,AL,213,47,3,1,16,20,1,234
Jim Ray,Hart,1969,1,SFN,NL,236,60,3,0,28,49,5,272
Richie,Hebner,1969,1,PIT,NL,459,138,8,4,53,53,8,542
Mike,Hegan,1969,1,SE1,AL,267,78,8,6,62,61,1,334
Tommy,Helms,1969,1,CIN,NL,480,129,1,4,18,33,1,513
Ken,Henderson,1969,1,SFN,NL,374,84,6,6,42,64,5,431
Elrod,Hendricks,1969,1,BAL,AL,295,72,12,0,39,44,2,344
Jackie,Hernandez,1969,1,KCA,AL,504,112,4,17,38,111,2,550
Ed,Herrmann,1969,1,CHA,AL,290,67,8,0,30,35,8,329
Jack,Hiatt,1969,1,SFN,NL,194,38,7,0,48,58,0,250
Jim,Hickman,1969,1,CHN,NL,338,80,21,2,47,74,0,392
Larry,Hisle,1969,1,PHI,NL,482,128,20,18,48,152,5,545
Gail,Hopkins,1969,1,CHA,AL,373,99,8,2,50,28,1,428
Tony,Horton,1969,1,CLE,AL,625,174,27,3,37,91,2,672
Willie,Horton,1969,1,DET,AL,508,133,28,3,52,93,3,578
Steve,Hovley,1969,1,SE1,AL,329,91,3,10,30,34,1,367
Frank,Howard,1969,1,WS2,AL,592,175,48,1,102,96,5,721
Randy,Hundley,1969,1,CHN,NL,522,133,18,2,61,90,3,602
Ron,Hunt,1969,1,SFN,NL,478,125,3,9,51,47,25,569
Reggie,Jackson,1969,1,OAK,AL,549,151,47,13,114,142,12,697
Sonny,Jackson,1969,1,ATL,NL,318,76,1,12,35,33,2,365
Julian,Javier,1969,1,SLN,NL,493,139,10,8,40,74,1,551
Alex,Johnson,1969,1,CIN,NL,523,165,17,11,25,69,9,573
Davey,Johnson,1969,1,BAL,AL,511,143,7,3,57,52,3,582
Deron,Johnson,1969,1,PHI,NL,475,121,17,4,60,111,0,549
Jay,Johnstone,1969,1,CAL,AL,540,146,10,3,38,75,5,602
Cleon,Jones,1969,1,NYN,NL,483,164,12,16,64,60,7,568
